Smiles, InchIKey
O=[N+]([O-])/N=C1\NCCN1CCCCl, GPOFEGFXZJVBAV-UHFFFAOYSA-N
CCC1=CC2=C(C3=C(C(=O)N2)C=NN3C2CCC2)C=C1C(=O)N1CCN(CCC(F)(F)F)CC1, JLCVKQHIFSBODF-UHFFFAOYSA-N
O=C1C2=CC(Cl)=CC=C2C2(C3=CC=CC=C3)SCCN12, HFHMTIRZGGSTAO-UHFFFAOYSA-N
O=C(O)C1=CC=C(OC/C=C/CN2C(=O)N(C(C3=CC=CC=C3)C3=CC=CC=C3)C(=O)C3=CC=C(N4CCOCC4)C=C23)C=C1, ZQPKBYQQGAQUAK-BQYQJAHWSA-N
CNC(=O)C1=CC(OC2=CC=C(NC(=O)C3=CC=C(OC)C=C3)C=C2)=CC=C1N, PBQDGEKTDHPEJT-UHFFFAOYSA-N
O=C(NCC1CC1)C1=CC2=C(S1)CCN2C(=O)C1=CC=C(F)C=C1, DRFZSNBMKDNIIY-UHFFFAOYSA-N
NC1=NN=C(C2=CC=C3NC=C(C4=CC=CC(O)=N4)C3=C2)S1, SIVHAPVFQQZNKB-UHFFFAOYSA-N
CC(=O)C1=C(C)OC([C@H]2OC[C@@H](N=[N+]=[N-])[C@@H]2Cl)=C1, KEFVSMYJFCKVGF-DVVUODLYSA-N
O=C(O)C1=CC=CC(CN2C(=O)CC(C3=CC=CC=C3)SC3=CC=CC=C23)=C1, MBQZCRIKUPDPSI-UHFFFAOYSA-N
O=C(CCC(NC(=O)C1=CC(Cl)=CC(Cl)=C1)C(=O)N1CCC2(CCCC2)CC1)NCCN1CCOCC1, LZLAWIZBRZSTHY-UHFFFAOYSA-N
CC1=CC=CC2=C1OP(=O)(O[C@H]1C[C@H](N3C=C([125I])C(=O)NC3=O)O[C@@H]1CO)OC2, QDJHBNNBIMGPTN-HRQOGRHRSA-N
CCCCCCCCC1=CC=C(NC(=O)[C@@H](N)[C@@H](O)CC)C=C1, UYCUSHGDWRMTBH-ROUUACIJSA-N
CC(C)N(CCC1(C2=CC=CC=C2)C(=O)NCN2CCCCC12)C(C)C, ZURWTJLUKIDQPW-UHFFFAOYSA-N
COC1=CC=C(C(=O)N2CCC3(CC2)CCN(C2=CC=NC=C2)CC3)C=C1, KPILUSAHPYZUAU-UHFFFAOYSA-N
CNC(=O)CC1=CC=C(C(=O)NC2=CC=CC(C3=CC=C(C4=NC5=CC=CC(C)=C5N4)S3)=C2)C=C1, MWDLEZWHBIBUQF-UHFFFAOYSA-N
CC1=CC(NC(=O)C2=CN=C3C(C(F)(F)F)=CC=CC3=C2O)=NO1, PMFVVLDDNQOBSK-UHFFFAOYSA-N
CS(=O)(=O)N(C1=CC(C(F)(F)P(=O)(O)O)=CC=C1/C=C/C1=CC=CC=C1)S(C)(=O)=O, JUPLUOFUEJQTPN-CMDGGOBGSA-N
O=S(=O)(C1=CC=CC(C2=NN3C(=N2)C2=CC=CC=C2N=C3O)=C1)N1CCCC1, MLXZZQXUAVHVTH-UHFFFAOYSA-N
N#CC1=CC=C(S(=O)(=O)N2CCN(C3=NC=CC=C3C(F)(F)F)CC2)C=C1, OULXRFUMARETNV-UHFFFAOYSA-N
CS(=O)(=O)O.C[C@H]1CN(C2=C(F)C=C3C(=O)C(C(=O)O)=CN(C45CC(C4)C5)C3=C2F)C[C@H]1CN, WOOTYTHCLUCBAN-BQQVRQSRSA-N
CC#CC1=CN=CC(C2=CSC([C@@H]3C[C@@H](C4=C(C)ON=C4C)SC(N)=N3)=C2)=C1, JHXBUZHKTRBUPU-HKUYNNGSSA-N
CCCCC(C)(O)C1CCC(N2C(=O)CC3=CC(OC)=C(OC(C)C)C=C3C2C2=CC=C(Cl)C=C2)CC1, DQUIDHIGYCDUAW-UHFFFAOYSA-N
COC1=CC2=C(N3CCN(C(=O)NC4=CC=C(OC5=CC=CC=C5)C=C4)CC3)N=CN=C2C=C1C, XZKSPTBEYGRIAW-UHFFFAOYSA-N
O=C1C=CC(=O)N1CCNC1=NC=C(C(F)(F)F)C=C1Cl, XRJVXAMPYWOKBH-UHFFFAOYSA-N
Cl.Cl.N#CC1=CC=C(CN2C(CN3CCCC3)=NC3=CC=CC=C23)C=C1, PNKWWEGPNJVDEY-UHFFFAOYSA-N
CC(=O)N[C@@H](CCN)C(=O)N[C@@H](CC(C)C)C(N)=O, NQOFDAVXLYCOSS-UWVGGRQHSA-N
COC1=NC=C(N2CCOCC2)C=C1S(=O)(=O)NC1=CC=NC(C2=CC=C(CN3CCCC3)C=C2F)=C1, UCLODDTXWGYADM-UHFFFAOYSA-N
O=C(NCCCN1C=CN=C1)/C(=C\C1=CC=CN=C1)NC(=O)C1=CC=CC(Br)=C1, YPOJPDVIGNKUGH-XDHOZWIPSA-N
CCO/N=C(\C1=CC=C(Br)C=C1)C1CCN(C2(C)CCN(C(=O)C3=C(C)C=CN=C3O)CC2)CC1, UDYZLBDATCUMND-BGABXYSRSA-N
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(C)=O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]12, ACWNTJJUZAIOLW-BWXYOZBYSA-N
CC1=C(NC(=O)C2=CC=CC(C#N)=C2)C=NC2=C1C(C1CCN(C(=O)C3CCOC3)CC1)=CN2C, KHGOSYUXMMBUFD-UHFFFAOYSA-N
O=C(CCC1=NC2=CC=CN=C2N1)NC1=CC=C2C(=C1)OCC(=O)N2, YQKRUFIYOUBDLA-UHFFFAOYSA-N
CCCC[C@H](NC(=O)OC(C(C)C)C(C)C)C(=O)C(=O)NC1=CC=NN1C1CCC1, GMDSYOIQJYEGEH-KRWDZBQOSA-N
CC(=O)NC1=NC=CC(C2=CC(C3=CC=CC=C3)=NO2)=N1, OSZGNMXDUIRKKS-UHFFFAOYSA-N
CCCCCCS(=O)(=O)NC1=CC=C(NC2=C3C(=NC4=CC=CC=C24)C=CC=C3)C(OC)=C1.CS(=O)(=O)O, FXKGOUKRWOCIHB-UHFFFAOYSA-N
COC1=CC=CC=C1C1=CC(C)=C(NC2=CC=NC(NC3=CC=C(C#N)C=C3)=N2)C(C)=C1, AFUGPLVMIXYSOF-UHFFFAOYSA-N
CC(O)C1=CC2=C(S1)C(=O)C1=C(C(C(C)O)=CS1)C2=O, SBHSPVCXPBMFDR-UHFFFAOYSA-N
COC1=CC=CC(C2=CC(C(=O)NC3=CC4=CC=C(OC5CC(C)C[C@@H](O)[C@H]5O)C(C)=C4OC3=O)=CC=C2OC)=C1, PDVPPOQDCVUFMJ-IXXDFCNBSA-N
O=C(O)C1=CC=C(SCC2=CC=CC(F)=C2)C=N1, NFNFUNPPSRQEKS-UHFFFAOYSA-N
CC(C)CCCCCCCCCCCCCCNC1=CC=C(C(=O)O)C=C1, ZJODQSBBDBFFAS-UHFFFAOYSA-N
CC1=C(C2=NN(C3=CC=CC=C3)C(C3=CC=CC=C3)C2)SC(C2=CC=CC=C2)=N1, MNQJBAQJEVQGPF-UHFFFAOYSA-N
CC(NC(=O)C1=CC=C(NC(=O)N2CC3=CC=CC=C3C2)C=C1)C1(C)CC1, PWYXPDSKZHIDIQ-UHFFFAOYSA-N
CC(C)CC1=CC=C(C(C)C(=O)N2CCN(C3=NC=CC=C3C(=O)NC(C(N)=O)C(C)O)CC2)C=C1, MZARYTXBCFQUMR-UHFFFAOYSA-N
CSC1=CC=C(C(=O)N[C@@H](CCC/N=C(\N)N[N+](=O)[O-])C(=O)N[C@@H](CC(C)C)C(N)=O)C=C1, SYLBDRSSIIBAIV-HOTGVXAUSA-N
CC1=C(C)C2=C(SCC3=NN=C(C4=CC=CC=C4)O3)N=CN=C2S1, PNJABCDGUHWOMR-UHFFFAOYSA-N
O=CC1=CC=C([C@H](O)[C@H](O)CO)N1CCC1=CC=C(O)C=C1, OFBWCUWERYAJIG-CVEARBPZSA-N
CC1=CC=C(C)C(NC(=O)CN2N=C(C)C3=CC=CC=C3C2=O)=C1, LMWAGXVZVZCSLJ-UHFFFAOYSA-N
CCCCC(=O)OC1=CC(Cl)=CC=C1OC1=CC=C(Cl)C=C1Cl, PWOKLGVLHXQYNY-UHFFFAOYSA-N
CCOC1=CC=C2N=C(N(CCCN(C)C)C(=O)C3=CC=C4C(=C3)CCCC4)SC2=C1.Cl, AAVNKJHZCQBLFE-UHFFFAOYSA-N
C1=CC2=CC(C3=C(C4=CSC=C4)ON=C3C3=CC=C4C(=C3)OCO4)=CC=C2N1, VDUWUDNNQOTQJY-UHFFFAOYSA-N
CCOC(=O)/C=C/C1=CC(CN2CCN(C3=CC=CC=N3)CC2)=CC(C(N)=O)=C1, GKPVTQTVQVPDLH-VOTSOKGWSA-N
CCOC(=O)CCC1=CC=C(C2=CC=C(OC)C=C2)N1C1=CC=C(C(C)=O)C=C1, YVYVEXJFUOWVCK-UHFFFAOYSA-N
C[C@@]12CC3=CC=CC=C3CCC(CC3=CC=C(O)C=C13)C2N, JUEAHXPWDLGQON-RGKRWLCDSA-N
CC1=CC=CN2C(=O)C3=C(SC(C(=O)NCC(C)C)=C3)N=C12, VBOOWEPYXWAHBC-UHFFFAOYSA-N
CC1=CC=C(C(=O)NC2=CC([N+](=O)[O-])=CC=C2F)S1, LRZXJAOUUBYAPE-UHFFFAOYSA-N
N#CC1=CC=CC=C1C1=CC=C(CN2C(C3=CSC=N3)=NC3=CC=C(Cl)C=C23)C=C1, ZOJSBJMHWGMYNM-UHFFFAOYSA-N
CCOC1=CC=C(C(=O)N/N=C/C2=CC([N+](=O)[O-])=CS2)C=C1, JHWUXMUHCFSXIS-OVCLIPMQSA-N
OC(COC1C2CC3CC(C2)CC1C3)CN1CCOCC1, GWNPRPOEZOJFHO-UHFFFAOYSA-N
CCOC1=CC=C2C(=NN=CC3=CC=CC(OC)=C3)C=C(C)NC2=C1, VGEVGTWKOGDMJH-UHFFFAOYSA-N
C1=CC=C(P(=C2C3=CC=CC=C3C3=CC=CC=C23)(C2=CC=CC=C2)C2=CC=CC=C2)C=C1, WAIYJGWQTGVSJY-UHFFFAOYSA-N
CN(C(=O)CCN1CCC(OC(=O)NC2=CC=CC=C2C2=CC=CC=C2)CC1)C1=CC=C(CC(=O)NCC2=CC=C(CCNC[C@H](O)C3=CC=C(O)C4=C3C=CC(=O)N4)C=C2)C=C1, ZDJDDHHJDNXZRV-GWHBCOKCSA-N
NCCCNCCCCNCCCCN1C(=O)C2=C3C(=CC=C2)C=CC=C3C1=O, JKIRNPPDEQPHQE-UHFFFAOYSA-N
COC1=CC=C(C2=CC=CC(COC3=CC=C([C@H](CC(=O)O)C4=NC=CN4C)C=C3)=C2)C=C1, ZFZWERMXSWIPRQ-VWLOTQADSA-N
CCCCN(C)/C(CC)=N/C1=CC=C2C(=C1)C(=O)C1=CC=C(/N=C(\CC)N(C)CCCC)C=C1C2=O, HAOJSTOAECRQGW-WWQQVGJXSA-N
C1=CC=C(CCN2C3CCC2CC3)N=C1, SRRZEMVAQOSBLB-UHFFFAOYSA-N
CC1=CC2=C(C(=O)NCC3=CC=C(N4CCC(C5=CC=C(OC(F)(F)F)C=C5)CC4)C=C3)C(C)=NN2C=C1, VPPPLAKILVBFMD-UHFFFAOYSA-N
CC1=NOC(C)=C1NC(=O)NC1=CC=CC2=C1O[C@@H](CN(C)S(C)(=O)=O)[C@@H](C)CN([C@@H](C)CO)C2=O, KPSNFOHNLPZDRP-NJSLBKSFSA-N
CC(C)CCOCC1=CC=CC=C1, RXXCIBALSKQCAE-UHFFFAOYSA-N
CCCCNC1=NN=C(CCN2N=C(C)C(Br)=C2C)S1, HJVRGNVSQKIHBY-UHFFFAOYSA-N
CCN1N=CC(C2=NC3=C(N[C@H]4CCN(C(=O)C5CCOCC5)C4)N=CN=C3N2C)=C1C, WFVKABQFHLSPFH-INIZCTEOSA-N
CC1=CC(C)=C(S(=O)(=O)N2CCOC23CCN(S(C)(=O)=O)CC3)C(C)=C1, SZYQCCZQMOWZEU-UHFFFAOYSA-N
CC(C)N1N=C(C2=CC=C3OC(N)=NC3=C2)C2=C(Br)N=C(N)N=C12, BJEPBULKEVIYBP-UHFFFAOYSA-N
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1CN(S(=O)(=O)C2=CC=C(F)C=C2)CN1C(=O)[C@@H](NC(=O)OC1CCCC1)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1, LTBAVIKQCJGFGL-DPSVNRJGSA-N
CC(C)COC(=O)N1CCCCC1C1=CC(C(=O)N2CCOCC2)=NO1, SXRKIFFGKQRXMR-UHFFFAOYSA-N
CC1CCCN(C(=O)C2=CC=C([N+](=O)[O-])O2)C1, YOQXJJARPAWPJV-UHFFFAOYSA-N
CCN(CC)C(=O)C1=C(C)C2=C(S1)N(CC(=O)NC1=CC=CC=C1)C(=O)N(C1=CC=C(OC)C=C1OC)C2=O, SOCFMKNDWIYRRR-UHFFFAOYSA-N
COC1=CC(C2=CC=C(OCCC(C)C)C=C2)=C(OC)C(O)=C1C1=CC=C(O)C=C1, CVAQCUFVFMUERM-UHFFFAOYSA-N
COCCCN1C(C2=CC=C(S(=O)(=O)N3CCOCC3)C=C2)=CS/C1=N\C1=CC=CC=C1, UYKWWWBGNUBPCF-VHXPQNKSSA-N
CC1=CC=CC(NC(=O)CN2CCC3=CC4=C(C=C3C2C)OCCCO4)=C1, TUVIKSUZLKLDRJ-UHFFFAOYSA-N
COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)C1C(=O)OCC(=O)C1=CC=C(Br)C=C1, AIODKQYYALFNGH-OBGWFSINSA-N
CC12CC3CC(C)(C1)CC(/N=C(\N)NC1=CC=CC=C1/C=C/C1=CC=CC=C1)(C3)C2, ULKVTWZZSYMWKM-OUKQBFOZSA-N
CC(=O)NC1=CC=C(OC(F)(F)C(F)F)C(NC(C)=O)=C1, XXOCKOBQSMYTBC-UHFFFAOYSA-N
COC1=CC=C(N2C(=O)C3=CC=CC=C3N(CC3=CC=CC=C3F)C2=O)C=C1OC, KJJYXWAOCHOXSO-UHFFFAOYSA-N
CC1=CC=C(C(=N)NOC(=O)C2=CC=C3C=CC=CC3=C2)C=C1, OCHUYZCQFZEMGU-UHFFFAOYSA-N
O=C(C1=C(NC2=CC(Cl)=CC(Cl)=C2)NC2=C(Cl)C=CC([N+](=O)[O-])=C2C1=O)C1CC1, VFJXXDCXLPMUBR-UHFFFAOYSA-N
CC1(C)CC(C)(C)CC2(C1)NCC1=CC(C(C)(C)C)=CC(I)=C1O2, AVJXKYISGXVRHY-UHFFFAOYSA-N
O=C(COC1=CC=CC2=C1CNCC2)NCC(O)CN1CCC2=CC=CC=C2C1, WXZGKBGEDPBBPB-UHFFFAOYSA-N
O=C(C1=CC2=CC=CC=C2N1)N1CCN(CCOC2=CC=CN=C2)CC1, WJOFBCYZALIRKI-UHFFFAOYSA-N
CCNC(=O)CC1=CC=C(C2=CC=CC=C2)C=C1, KRIRSNPOXFHZIB-UHFFFAOYSA-N
CC(O)CCCCN1C(=O)C(CCOC2=CC=CC=C2CC(=O)O)OC2=CC=CC=C12, BDLDSSMAHRDDGB-UHFFFAOYSA-N
CNC(=O)C1=CC(OC2=CC=C3N=C(NC4=CC=C(C5=CC=CN=C5)C=C4)N=CC3=C2)=CC=N1, GKKSHWWDZSJINW-UHFFFAOYSA-N
CN(CC1=CC=CC=C1)C(=O)C1=CC2=C(C3=CC=CC=C3N(C)C2=O)S1, WDMCNBXVZBAGKS-UHFFFAOYSA-N
CS(=O)(=O)N1CCN(C(=O)C2=CC(C3=CC=CS3)=CS2)CC1, DAEZZWXOBPFGQJ-UHFFFAOYSA-N
CC1=CC=CC(CCN)=C1, GUERDLPJJJMIEU-UHFFFAOYSA-N
CC1=CSC(CNC(=O)NC(C)C2=CC=C3C(=C2)OCCO3)=N1, PGLJEFBAXFMYBH-UHFFFAOYSA-N
C=C(/C=C/C(=O)NC1=CC=C(N)C=C1)CC1(C)CC2=CC=CC=C2C1=O, BKGCPRVFMYQBRH-KPKJPENVSA-N
C=CC[C@H]1CN(C2CCCC2)C2=NC(NC3=CC=C(C(=O)NC4CCN(C)CC4)C=C3OC)=NC=C2N(C)C1=O, DWBXNQKRJAOIHK-NRFANRHFSA-N
CCOP(=O)(OCC)C(NC(=S)NC(=O)[C@]1(C)CCC[C@]2(C)C3=CC=C(C(C)C)C=C3CC[C@@H]12)C1=CC=CC=C1F, ZAZULDNVGOECEO-VGVWILAUSA-N
NC(=O)C1=CC2=CC(CC3=CC=CC=C3)=C(C(F)(F)F)N=C2N=C1N, ZXWUBJASPQKEAN-UHFFFAOYSA-N
O=[N+]([O-])C1=NN(CCCN(CC2=CC=C(C(F)(F)F)C=C2)CC2=CC=C(C(F)(F)F)C=C2)C=N1, VJOQCICRCCURSU-UHFFFAOYSA-N
O=C(C1=CC=C(S(=O)(=O)NC2=CC=CC=C2)C=C1)N1CCCC(C(F)(F)F)C1, KPAFCNXCULLUIL-UHFFFAOYSA-N
ClC1=CC=C(N=C2C=CN(CCCCCN3C=CC(=NC4=CC=C(Cl)C=C4)C=C3)C=C2)C=C1, GUSYYOQMHQNUSZ-UHFFFAOYSA-N
C=CCN1C(SCC(=O)NC2=CC(C)=C(Cl)C=C2OC)=NN=C1C1=CC=CO1, KKPGANILSLDBNG-UHFFFAOYSA-N
CCCCCCN1C=NC2=C3C=CC=CC3=C3C(=C12)CCC(C)(C)O3, AXTRRTMVQMYCRV-UHFFFAOYSA-N
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OC(=O)NCCNC(=O)/C(C#N)=C/C5=CC=CC(Cl)=C5)CC[C@]4(C)[C@H]3CC[C@]12C, BJWIPOMEOBTTJP-SRCKYBTLSA-N
CN(CCCC1=CNC2=CC=C(F)C=C12)C1COC2=CC=C3C(=C2C1)C(=O)NCC3, KMLCAXOEHCQJRO-UHFFFAOYSA-N
CC(=O)OCC1=C(C(=O)OC(C2=CC=CC=C2)C2=CC=CC=C2)N2C(=O)[C@H](Cl)C2SC1, YFFNJWCMUGIYOE-HXBUSHRASA-N
O=C(O)C(=O)OC[C@H]1OC(=O)[C@H](O)[C@@H]1O, JUFDKIHNAKWIPB-BXXZVTAOSA-N
COC1=CC=C(OC(=O)C2=NC(SCC3=CC=CC=C3F)=NC=C2Cl)C=C1, NVOSPZNQVSARGS-UHFFFAOYSA-N
FC1=CC=CC(CNCC2CN3N=NC=C3CO2)=C1, YUUYGPGETZPGDG-UHFFFAOYSA-N
CC[C@@]1(O)C(=O)OCC2=C1C=C1N(C2=O)CC2=C1N=C1C=CC(OC)=CC1=C2C1CCCC1, AAGONDJNRDWVLR-SANMLTNESA-N
CCOC1=CC=C2N=C(NC(=O)C(=O)C(C(=O)C3=CC=CC=C3F)C3OC(=O)C4=CC=CC=C34)SC2=C1, ZELWNOUFNSTJBZ-UHFFFAOYSA-N
CCC1=CC=C(I)C(CC)=C1NC(=O)CN(CC(=O)O)CC(=O)O, DVBXFRSRFUTZTN-UHFFFAOYSA-N
CO[C@H]1CN(C)C(=O)C2=CC=C(NC(=O)C3CC3)C=C2OC[C@H](C)N(C(=O)C2=CC=CC=N2)C[C@H]1C, ICZJHRYDJKYLQD-YTZAWJCFSA-N
CC1=C(Cl)C=CC=C1NC(=O)C1=CC(NC(=O)C2=CC=CC=C2C(F)(F)F)=CC2=C1N=C(C1CCCC1)N2, CXRJHASYZPXNEG-UHFFFAOYSA-N
CC(C)NS(=O)(=O)C1=CC=C(OCC(=O)NC2=CC=CC=C2F)C=C1, MQKSZWYYHGTHIV-UHFFFAOYSA-N
CC1=NN(C2=CC=C(C(=O)O)C=C2)C(=O)CC1, FIRIFVVVVQIBLD-UHFFFAOYSA-N
CC(NC(=O)C1=CC=C(S(N)(=O)=O)C=C1)C(=O)O, XVXCKHQWKUVAPE-UHFFFAOYSA-N
COC(=O)[C@@]12CCCN1[C@H](C1=CC=C(SC3CCCCC3)C=C1)[C@H]1C(=O)N(C)C(=O)[C@@H]21, IFDQXIBLGLRXER-KTIHBUSBSA-N
O=C(C1=CC=CC=C1)N1CCN(S(=O)(=O)C2=CC=CS2)CC1, LWMHQSNCXDHONB-UHFFFAOYSA-N
CCCN(CCN1CCN(C2=CC=CC=N2)CC1)C1CCC2=CC=C(O)C=C2C1, KIBICQVMFUXHBE-UHFFFAOYSA-N
CCCCNC(=O)CC(O)C(CC1=CC=CC=C1)NC(=O)[C@@H](NC(=O)CN1CCC(C(N)=O)(C2=CC=CC=C2)CC1)[C@@H](C)CC, HRWQNVARHISMJN-HTWIIDBLSA-N
COC1=CC=CC(C2=CC(O)=C3C(=C2)CN(C(=O)C2CC2)CCO3)=C1, NFASEKPXRUMCIX-UHFFFAOYSA-N
O=C(O)C(=O)C1CC2=CC=C([N+](=O)[O-])C=C2CN1S(=O)(=O)C1=CC=C(C2=CC=C(F)C=C2)C=C1, ZKKQCCSHBYRQHR-UHFFFAOYSA-N
C[C@]12CC[C@H]3[C@@H](CC[C@H]4NC(=O)CC[C@]34C)[C@@H]1CC[C@@H](N1C=NC3=C(N(CCO)CCO)N=C(Cl)N=C13)O2, BRAYPVFMFWTUKN-JOBXNTDGSA-N
CC1=NOC(C)=C1CN1CCO[C@H]2CN(CC3=CN(C)N=C3)C[C@@H]12, JMWXCKBNMITSIN-SJORKVTESA-N
CN1C(C2=CC=C(Cl)C=N2)=C(C2CCCC2)C2=CC=C(C(=O)NC(C)(C)C(=O)NC3=CC=C(/C=C/C(=O)O)C=C3)C=C12, FNEMLYLQYCOWSI-LICLKQGHSA-N
N[C@@H](CS)CC1=CC=CC=C1, BUAPSNKVPWEGPA-SECBINFHSA-N
CN(C)C1=CC(C2=C(CC(=O)O)SC(C(C3=CC=C(F)C=C3)C3=CC=C(F)C=C3)=N2)=CC=N1, HXGOZZCNWIRGDR-UHFFFAOYSA-N
C/C(=N\NC(N)=S)C1=CC=CC(N)=C1, FJCDJOPKILSQQC-WUXMJOGZSA-N
CC1=NC2=CC=C(NC(=O)C3=CC=CS3)C=C2S1, VVZCMIMCJKOCNN-UHFFFAOYSA-N
COC1=CC=CC=C1CNC(=O)C1=CC=C(OCC2CCCO2)C=C1, DVTVJGRKHOHFDN-UHFFFAOYSA-N
N#C[C@@H]1CCCN1C(=O)CNC(=O)C1=CC=NC2=CC=CC(Br)=C12, XTSDSKNXFWPJCS-NSHDSACASA-N
CC1CCC2=C(SC=C2C(=O)NC2=C(F)C=C(F)C=C2Br)C1, MOUOMNBPAHLPSE-UHFFFAOYSA-N
CC1=CC=CC(NS(=O)(=O)C2=CC=C(C(=O)N3CCC3)C=C2)=C1C, FFMAUIFUNZBCRQ-UHFFFAOYSA-N
CCC1CCN(C(=O)C(CCCN=C(N)N)NS(=O)(=O)C2=CC=C3C=CC(OC)=CC3=C2)C(C(=O)O)C1, YWTJHJYWEVKHSQ-UHFFFAOYSA-N
C/C(=N\NC(=O)C1=CC=CN=C1)C1=CC=C(N2C(C)=CC=C2C)C=C1, PRYDIUOIVPKNEW-CJLVFECKSA-N
O=C(NCC=C(C1=CC=CC=C1)C1=CC=CC=C1)NC1=CC=C(Cl)C=C1, BVFBYUIDPPDGCS-UHFFFAOYSA-N
C=CCOC(=O)C1=CC=C(S(N)(=O)=O)C=C1, VWKMDRWBZTWKNM-UHFFFAOYSA-N
NC(=S)N1N=C(C2=CC=CC=C2O)CC1C1=CC=C(O)C=C1, PCKXOBFTBPFENG-UHFFFAOYSA-N
CCCC(=O)N1CCN(C2=CC3=C(C=C2F)C(=O)C(C(=O)O)=CN3C2CC2)CC1, AJINREBJQTYYQG-UHFFFAOYSA-N
CCOP(=O)(CC1=CC=CC=C1NC(=O)[C@H]1CC2=CC3=C(C=C2C(=O)[C@H](C)S1)OCO3)OCC, UXRUDFJTPABSNB-OYHNWAKOSA-N
CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC1=CC(OS(=O)(=O)O)=CC=C1OS(=O)(=O)O, XSEWDLLFUPPPPL-PYHSYOTJSA-N
COC1=CC=C2C(=C1)C(/C=C1\OC3=CC(O)=CC(O)=C3C1=O)=C(C)N2CCN1CCN(C)CC1, UOLWAWYOIVYEAT-IWIPYMOSSA-N
CN1C(SCC(=O)NC2=CC=CC=C2Br)=NN=C1C1=CN=CC=N1, GOEVKCKHFBODJY-UHFFFAOYSA-N
